Rk,Gcar,Gtm,Week,Date,Team,Home/Away,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Y/A,Passing_AY/A,Passing_Rate,Passing_Sk,Passing_Yds_Lost,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_FRTD,Snap_Counts_OffSnp,Snap_Counts_Off%,Snap_Counts_DefSnp,Snap_Counts_Def%,Snap_Counts_STSnp,Snap_Counts_ST%
1,1,1,1,2019-09-08,ARI,,DET,T 27-27 (OT),*,29,54,53.7,308,2,1,5.7,5.61,75.2,5,33,3,13,0,4.3,0,0,0,0,0,0,0,0,0,0,88,100.0,0,0.0,0,0.0
2,2,2,2,2019-09-15,ARI,@,BAL,L 17-23,*,25,40,62.5,349,0,0,8.7,8.73,90.5,3,20,3,4,0,1.3,0,0,0,0,1,0,0,1,-5,0,57,100.0,0,0.0,0,0.0
3,3,3,3,2019-09-22,ARI,,CAR,L 20-38,*,30,43,69.8,173,2,2,4.0,2.86,73.1,8,46,8,69,0,8.6,0,0,0,0,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
4,4,4,4,2019-09-29,ARI,,SEA,L 10-27,*,22,32,68.8,241,0,1,7.5,6.13,77.7,4,35,4,27,1,6.8,0,0,0,0,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
5,5,5,5,2019-10-06,ARI,@,CIN,W 26-23,*,20,32,62.5,253,0,0,7.9,7.91,87.1,1,5,10,93,1,9.3,0,0,0,0,0,0,0,0,0,0,75,101.4,0,0.0,0,0.0
6,6,6,6,2019-10-13,ARI,,ATL,W 34-33,*,27,37,73.0,340,3,0,9.2,10.81,128.2,0,0,11,32,0,2.9,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
7,7,7,7,2019-10-20,ARI,@,NYG,W 27-21,*,14,21,66.7,104,0,0,5.0,4.95,78.3,2,15,10,28,0,2.8,0,0,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
8,8,8,8,2019-10-27,ARI,@,NOR,L 9-31,*,19,33,57.6,220,0,0,6.7,6.67,77.8,3,19,2,13,0,6.5,0,0,0,0,1,0,0,1,0,0,46,93.9,0,0.0,0,0.0
9,9,9,9,2019-10-31,ARI,,SFO,L 25-28,*,17,24,70.8,241,2,0,10.0,11.71,130.7,3,37,5,34,0,6.8,0,0,0,0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
10,10,10,10,2019-11-10,ARI,@,TAM,L 27-30,*,27,44,61.4,324,3,1,7.4,7.70,97.2,2,8,3,38,0,12.7,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
